J.P. Morgan Asset Management - 2026 Long-Term Capital Market Assumptions (30th annual edition)
Assumption matrix: Swiss franc. All estimates in Swiss franc terms; returns are nominal. Source data as of 30 September 2025.
Extract: Swiss Cash and the full equity block of the matrix. Returns and volatility in percent per annum.
Copyright 2025 JPMorgan Chase & Co. Reproduced for classroom use. LV-JPM56789 | 12/25 | CHF
Asset class,Category,Compound return 2026 (%),Arithmetic return 2026 (%),Annualized volatility (%)
Swiss Cash,Cash,1.20,1.20,0.41
Swiss Equity,Equity,4.30,5.13,13.28
U.S. Large Cap,Equity,6.10,7.42,16.97
U.S. Mid Cap,Equity,6.40,7.98,18.65
U.S. Small Cap,Equity,6.30,8.34,21.31
European Large Cap,Equity,6.40,7.67,16.70
European Small Cap,Equity,7.20,8.91,19.55
Euro Area Large Cap,Equity,7.20,8.84,19.14
Euro Area Small Cap,Equity,7.80,9.56,19.90
UK Large Cap,Equity,6.00,7.25,16.49
UK Small Cap,Equity,6.50,8.44,20.80
Japanese Equity,Equity,8.20,9.25,15.29
Chinese Domestic Equity,Equity,7.10,10.75,29.16
AC Asia ex-Japan Equity,Equity,7.30,8.79,18.19
Emerging Markets Equity,Equity,7.20,8.65,17.96
AC World Equity,Equity,6.40,7.55,15.87
AC World ex-EMU Equity,Equity,6.30,7.44,15.78
Developed World Equity,Equity,6.30,7.49,16.14
